Shipping_Country,Shipping_State,Shipping_City,City_Join_Key,State_Join_Key,order_weight,revenue_weight,level
US,New York,New York,new york,new york,0.0862906788396407,0.08860945458684456,country
US,New York,Brooklyn,brooklyn,new york,0.044470622883227805,0.04424670761567553,country
US,Illinois,Chicago,chicago,illinois,0.033328424876061455,0.03312639856041605,country
US,Texas,Houston,houston,texas,0.027978206449712856,0.03062227046129289,country
US,Florida,Miami,miami,florida,0.024836793795710008,0.030126985288438476,country
US,California,San Francisco,san francisco,california,0.0293525744858391,0.028505870667799475,country
US,California,Los Angeles,los angeles,california,0.02954891277671428,0.027745297706882603,country
US,District of Columbia,Washington,washington,district of columbia,0.02189171943258234,0.020377679402594343,country
US,Washington,Seattle,seattle,washington,0.018897560496735875,0.01761309284259564,country
US,Texas,Austin,austin,texas,0.017228685024296864,0.01756304887186971,country
US,Texas,Dallas,dallas,texas,0.01585431698817062,0.017026950193159536,country
US,California,San Diego,san diego,california,0.016050655279045797,0.014253577618155234,country
US,Georgia,Atlanta,atlanta,georgia,0.012761988906886566,0.013795989381984333,country
US,Pennsylvania,Philadelphia,philadelphia,pennsylvania,0.013007411770480539,0.012473078939987073,country
US,North Carolina,Charlotte,charlotte,north carolina,0.011780297452510675,0.01202787025858039,country
US,Oregon,Portland,portland,oregon,0.01236931232513621,0.011526742196043042,country
US,Massachusetts,Boston,boston,massachusetts,0.011534874588916704,0.011496058895027176,country
US,California,San Jose,san jose,california,0.01281107347960536,0.011092818205100063,country
US,Florida,Orlando,orlando,florida,0.009473322534727335,0.011057348937859677,country
US,Massachusetts,Reading,reading,massachusetts,0.025180385804741568,0.010995060915377016,country
US,Virginia,Alexandria,alexandria,virginia,0.009816914543758897,0.009684058477677912,country
US,Hawaii,Honolulu,honolulu,hawaii,0.007804447062288323,0.009433410434544594,country
US,Florida,Naples,naples,florida,0.007215432189662789,0.008822107586677886,country
US,Texas,San Antonio,san antonio,texas,0.008393461934913856,0.008573237343002828,country
US,Ohio,Cincinnati,cincinnati,ohio,0.007019093898787611,0.00831402550979619,country
US,Tennessee,Nashville,nashville,tennessee,0.0080007853531635,0.007991891500031843,country
US,Florida,Tampa,tampa,florida,0.006970009326068816,0.007952828693032842,country
US,Pennsylvania,Pittsburgh,pittsburgh,pennsylvania,0.008393461934913856,0.007813607483018086,country
US,North Carolina,Raleigh,raleigh,north carolina,0.007411770480537967,0.007745183884356314,country
US,California,Oakland,oakland,california,0.008442546507632652,0.007585447519007684,country
US,Texas,Fort Worth,fort worth,texas,0.005939233298974132,0.007152298605267544,country
US,Ohio,Columbus,columbus,ohio,0.006773671035193639,0.007013315880545969,country
US,Virginia,Arlington,arlington,virginia,0.007853531635007117,0.007001771024307885,country
US,New Jersey,Jersey City,jersey city,new jersey,0.007313601335100378,0.006782922826972145,country
US,Nevada,Las Vegas,las vegas,nevada,0.00667550188975605,0.00676761098712586,country
US,Florida,Boca Raton,boca raton,florida,0.0062828253080056936,0.006635397992658447,country
US,Colorado,Denver,denver,colorado,0.00667550188975605,0.006461932462591007,country
US,Georgia,Marietta,marietta,georgia,0.00569381043538016,0.006221447145019384,country
US,Minnesota,Minneapolis,minneapolis,minnesota,0.007215432189662789,0.006010376820313527,country
US,Kentucky,Louisville,louisville,kentucky,0.005350218426348598,0.005949942478973321,country
US,Missouri,Saint Louis,saint louis,missouri,0.005742895008098954,0.005791864670436361,country
US,New York,Staten Island,staten island,new york,0.005497472144504982,0.005695576233314498,country
US,Indiana,Indianapolis,indianapolis,indiana,0.005055710990035832,0.005434787145100685,country
US,Virginia,Virginia Beach,virginia beach,virginia,0.005301133853629804,0.005397106468778075,country
US,Virginia,Richmond,richmond,virginia,0.004957541844598243,0.0053475990899618025,country
UK,England,London,london,england,0.7012987012987013,0.5857695343813679,country
US,New York,Bronx,bronx,new york,0.005791979580817749,0.005161266194303182,country
US,Oklahoma,Tulsa,tulsa,oklahoma,0.004417611544691504,0.005127363341829372,country
US,Arizona,Phoenix,phoenix,arizona,0.004859372699160654,0.005116327976899447,country
CA,Ontario,Toronto,toronto,ontario,0.18641390205371247,0.1761630537807132,country
US,Connecticut,Greenwich,greenwich,connecticut,0.0025033132086585185,0.004831121246736071,country
US,Louisiana,Baton Rouge,baton rouge,louisiana,0.003779512099347175,0.004827235020481279,country
