Shipping_Country,Shipping_State,Shipping_City,City_Join_Key,State_Join_Key
US,Alabama,Adger,adger,alabama
US,Alabama,Alabaster,alabaster,alabama
US,Alabama,Albertville,albertville,alabama
US,Alabama,Alexandria,alexandria,alabama
US,Alabama,Andalusia,andalusia,alabama
US,Alabama,Anderson,anderson,alabama
US,Alabama,Anniston,anniston,alabama
US,Alabama,Arab,arab,alabama
US,Alabama,Arley,arley,alabama
US,Alabama,Athens,athens,alabama
US,Alabama,Auburn,auburn,alabama
US,Alabama,Bessemer,bessemer,alabama
US,Alabama,Big Cove,big cove,alabama
US,Alabama,Birmingham,birmingham,alabama
US,Alabama,Boaz,boaz,alabama
US,Alabama,Calera,calera,alabama
US,Alabama,Cedar Bluff,cedar bluff,alabama
US,Alabama,Center Point,center point,alabama
US,Alabama,Centre,centre,alabama
US,Alabama,Chelsea,chelsea,alabama
US,Alabama,Childersburg,childersburg,alabama
US,Alabama,Columbiana,columbiana,alabama
US,Alabama,Cullman,cullman,alabama
US,Alabama,Daleville,daleville,alabama
US,Alabama,Daphne,daphne,alabama
US,Alabama,Decatur,decatur,alabama
US,Alabama,Dora,dora,alabama
US,Alabama,Dothan,dothan,alabama
US,Alabama,Dutton,dutton,alabama
US,Alabama,Eight Mile,eight mile,alabama
US,Alabama,Elberta,elberta,alabama
US,Alabama,Elkmont,elkmont,alabama
US,Alabama,Elmore,elmore,alabama
US,Alabama,Enterprise,enterprise,alabama
US,Alabama,Evergreen,evergreen,alabama
US,Alabama,Fairhope,fairhope,alabama
US,Alabama,Fairhopr,fairhopr,alabama
US,Alabama,Flat Rock,flat rock,alabama
US,Alabama,Florence,florence,alabama
US,Alabama,Foley,foley,alabama
US,Alabama,Fort Mitchell,fort mitchell,alabama
US,Alabama,Fort Payne,fort payne,alabama
US,Alabama,Gadsden,gadsden,alabama
US,Alabama,Gardendale,gardendale,alabama
US,Alabama,Geneva,geneva,alabama
US,Alabama,Gordo,gordo,alabama
US,Alabama,Greensboro,greensboro,alabama
US,Alabama,Grove Hill,grove hill,alabama
US,Alabama,Guin,guin,alabama
US,Alabama,Gulf Shores,gulf shores,alabama
US,Alabama,Guntersville,guntersville,alabama
US,Alabama,Gurley,gurley,alabama
US,Alabama,Haleyville,haleyville,alabama
US,Alabama,Hamilton,hamilton,alabama
US,Alabama,Hampton Cove,hampton cove,alabama
US,Alabama,Hanceville,hanceville,alabama
US,Alabama,Hartford,hartford,alabama
US,Alabama,Hartselle,hartselle,alabama
US,Alabama,Harvest,harvest,alabama
US,Alabama,Hazel Green,hazel green,alabama
US,Alabama,Headland,headland,alabama
US,Alabama,Helena,helena,alabama
US,Alabama,Holly Pond,holly pond,alabama
US,Alabama,Hollywood,hollywood,alabama
US,Alabama,Homewood,homewood,alabama
US,Alabama,Hoover,hoover,alabama
US,Alabama,Hueytown,hueytown,alabama
US,Alabama,Huntsville,huntsville,alabama
US,Alabama,Ider,ider,alabama
US,Alabama,Indian Springs,indian springs,alabama
US,Alabama,Jack,jack,alabama
US,Alabama,Jackson'S Gap,jackson's gap,alabama
US,Alabama,Jacksonville,jacksonville,alabama
US,Alabama,Jasper,jasper,alabama
US,Alabama,Kinsey,kinsey,alabama
US,Alabama,Leeds,leeds,alabama
US,Alabama,Lillian,lillian,alabama
US,Alabama,Logan,logan,alabama
US,Alabama,Loxley,loxley,alabama
US,Alabama,Madisob,madisob,alabama
US,Alabama,Madison,madison,alabama
US,Alabama,Mentone,mentone,alabama
US,Alabama,Meridianville,meridianville,alabama
US,Alabama,Midland City,midland city,alabama
US,Alabama,Millbrook,millbrook,alabama
US,Alabama,Mobile,mobile,alabama
US,Alabama,Monroeville,monroeville,alabama
US,Alabama,Montevallo,montevallo,alabama
US,Alabama,Montgomery,montgomery,alabama
US,Alabama,Mount Olive,mount olive,alabama
US,Alabama,Mountain Brk,mountain brk,alabama
US,Alabama,Mountain Brook,mountain brook,alabama
US,Alabama,Mulga,mulga,alabama
US,Alabama,Munford,munford,alabama
US,Alabama,Muscle Shoals,muscle shoals,alabama
US,Alabama,New Hope,new hope,alabama
US,Alabama,New Market,new market,alabama
US,Alabama,Newton,newton,alabama
US,Alabama,Northport,northport,alabama
US,Alabama,Oneonta,oneonta,alabama
US,Alabama,Opelika,opelika,alabama
US,Alabama,Orange Beach,orange beach,alabama
US,Alabama,Owens Cross Roads,owens cross roads,alabama
US,Alabama,Oxford,oxford,alabama
US,Alabama,Ozark,ozark,alabama
US,Alabama,Pelham,pelham,alabama
US,Alabama,Pell City,pell city,alabama
US,Alabama,Phenix City,phenix city,alabama
US,Alabama,Pinson,pinson,alabama
US,Alabama,Point Clear,point clear,alabama
US,Alabama,Prattville,prattville,alabama
US,Alabama,Rainbow City,rainbow city,alabama
US,Alabama,Rehobeth,rehobeth,alabama
US,Alabama,Remlap,remlap,alabama
US,Alabama,Saraland,saraland,alabama
US,Alabama,Satsuma,satsuma,alabama
US,Alabama,Scottsboro,scottsboro,alabama
US,Alabama,Seale,seale,alabama
US,Alabama,Selma,selma,alabama
US,Alabama,Semmes,semmes,alabama
US,Alabama,Silverhill,silverhill,alabama
US,Alabama,Skipperville,skipperville,alabama
US,Alabama,Smiths Station,smiths station,alabama
US,Alabama,Somerville,somerville,alabama
US,Alabama,Spanish Fort,spanish fort,alabama
US,Alabama,Sterrett,sterrett,alabama
US,Alabama,Sylacauga,sylacauga,alabama
US,Alabama,Talladega,talladega,alabama
US,Alabama,Tallassee,tallassee,alabama
US,Alabama,Thomasville,thomasville,alabama
US,Alabama,Toney,toney,alabama
US,Alabama,Trussville,trussville,alabama
US,Alabama,Tuscaloosa,tuscaloosa,alabama
US,Alabama,Tuskegee Institute,tuskegee institute,alabama
US,Alabama,Vestavia,vestavia,alabama
US,Alabama,Vestavia Hills,vestavia hills,alabama
US,Alabama,Webb,webb,alabama
US,Alabama,West Blocton,west blocton,alabama
US,Alabama,Wetumpka,wetumpka,alabama
US,Alabama,Wilsonville,wilsonville,alabama
US,Alabama,Winfield,winfield,alabama
US,Alaska,Anchor Point,anchor point,alaska
US,Alaska,Anchorage,anchorage,alaska
US,Alaska,Chugiak,chugiak,alaska
US,Alaska,Cordova,cordova,alaska
