Date,Region,City,State,Lat,Lon,Revenue,Units,Weather_Action
2026-09-03,US,New York,New York,40.714,-74.006,1801.26,88,
2026-09-03,US,Brooklyn,New York,40.65,-73.95,903.27,56,
2026-09-03,US,Chicago,Illinois,41.85,-87.65,678.68,37,
2026-09-03,US,Houston,Texas,29.763,-95.363,639.45,18,
2026-09-03,US,Miami,Florida,25.774,-80.194,624.87,13,
2026-09-03,US,San Francisco,California,37.775,-122.419,575.75,25,
2026-09-03,US,Los Angeles,California,34.052,-118.244,558.95,28,
2026-09-03,US,Washington,District of Columbia,38.895,-77.036,406.53,11,
2026-09-03,US,Austin,Texas,30.267,-97.743,357.45,7,
2026-09-03,US,Seattle,Washington,47.606,-122.332,355.46,10,
2026-09-03,US,Dallas,Texas,32.783,-96.807,346.76,3,
2026-09-03,US,San Diego,California,32.716,-117.165,285.45,6,
2026-09-03,US,Atlanta,Georgia,33.749,-84.388,277.81,3,
2026-09-03,US,Philadelphia,Pennsylvania,39.952,-75.164,252.03,3,
2026-09-03,US,Charlotte,North Carolina,35.227,-80.843,243.8,3,
2026-09-03,US,Portland,Oregon,45.523,-122.676,235.97,3,
2026-09-03,US,Boston,Massachusetts,42.358,-71.06,229.35,3,
2026-09-03,US,San Jose,California,37.339,-121.895,226.13,3,
2026-09-03,US,Orlando,Florida,28.538,-81.379,225.24,2,
2026-09-03,US,Reading,Massachusetts,42.526,-71.095,219.36,15,
2026-09-03,US,Alexandria,Virginia,38.805,-77.047,195.67,2,
2026-09-03,US,Honolulu,Hawaii,21.307,-157.858,192.65,0,
2026-09-03,US,San Antonio,Texas,29.424,-98.494,176.9,2,
2026-09-03,US,Naples,Florida,26.142,-81.796,175.96,0,
2026-09-03,US,Cincinnati,Ohio,39.127,-84.514,171.47,0,
2026-09-03,US,Nashville,Tennessee,36.166,-86.784,163.61,1,
2026-09-03,US,Tampa,Florida,27.948,-82.458,160.57,0,
2026-09-03,US,Pittsburgh,Pennsylvania,40.441,-79.996,156.88,2,
2026-09-03,US,Raleigh,North Carolina,35.772,-78.639,155.34,0,
2026-09-03,US,Oakland,California,37.804,-122.271,154.4,2,
2026-09-03,US,Fort Worth,Texas,32.725,-97.321,144.23,0,
2026-09-03,US,Columbus,Ohio,39.961,-82.999,143.09,0,
2026-09-03,US,Arlington,Virginia,38.881,-77.104,140.49,1,
2026-09-03,US,Las Vegas,Nevada,36.175,-115.137,139.01,0,
2026-09-03,US,Boca Raton,Florida,26.359,-80.083,138.42,0,
2026-09-03,US,Jersey City,New Jersey,40.728,-74.078,135.27,0,
2026-09-03,US,Marietta,Georgia,33.953,-84.55,129.9,0,
2026-09-03,US,Denver,Colorado,39.739,-104.985,129.8,0,
2026-09-03,US,Louisville,Kentucky,38.254,-85.759,121.12,0,
2026-09-03,US,Minneapolis,Minnesota,44.98,-93.264,120.69,0,
2026-09-03,US,Saint Louis,Missouri,38.652,-90.205,116.25,0,
2026-09-03,US,Staten Island,New York,40.562,-74.14,114.74,0,
2026-09-03,US,Indianapolis,Indiana,39.768,-86.158,111.24,0,
2026-09-03,US,Virginia Beach,Virginia,36.853,-75.978,110.47,0,
2026-09-03,US,Richmond,Virginia,37.554,-77.46,108.62,0,
2026-09-03,US,Phoenix,Arizona,33.448,-112.074,106.10000000000001,0,
2026-09-03,US,Bronx,New York,40.85,-73.866,104.54,0,
2026-09-03,US,Tulsa,Oklahoma,36.154,-95.993,103.89,0,
2026-09-03,US,Greenwich,Connecticut,41.026,-73.628,97.42,0,
2026-09-03,US,Baton Rouge,Louisiana,30.443,-91.187,96.3,0,
2026-09-03,US,Knoxville,Tennessee,35.961,-83.921,95.31,0,
2026-09-03,US,Tucson,Arizona,32.222,-110.926,92.95,0,
2026-09-03,US,Bethesda,Maryland,38.981,-77.1,89.67,0,
2026-09-03,US,Edmond,Oklahoma,35.653,-97.478,87.76,0,
2026-09-03,US,Scottsdale,Arizona,33.509,-111.899,86.31,0,
2026-09-03,US,Birmingham,Alabama,33.521,-86.802,85.78,0,
2026-09-03,US,Baltimore,Maryland,39.29,-76.612,85.74,0,
2026-09-03,US,Lexington,Kentucky,37.989,-84.478,83.62,0,
2026-09-03,US,Greenville,South Carolina,34.853,-82.394,82.73,0,
2026-09-03,US,Cambridge,Massachusetts,42.375,-71.106,82.34,0,
2026-09-03,US,New Orleans,Louisiana,29.955,-90.075,74.41,0,
2026-09-03,US,Charleston,South Carolina,32.776,-79.933,74.26,0,
2026-09-03,US,Memphis,Tennessee,35.15,-90.049,73.9,0,
2026-09-03,US,Savannah,Georgia,32.084,-81.1,73.79,0,
2026-09-03,US,Wilmington,North Carolina,34.236,-77.946,72.48,0,
2026-09-03,US,Albuquerque,New Mexico,35.084,-106.651,71.75,0,
2026-09-03,US,Hoboken,New Jersey,40.744,-74.032,69.99,0,
2026-09-03,US,Naperville,Illinois,41.786,-88.147,69.9,0,
2026-09-03,US,Grand Rapids,Michigan,42.963,-85.668,69.76,0,
2026-09-03,US,Franklin,Tennessee,35.925,-86.869,69.52,0,
2026-09-03,US,Huntsville,Alabama,34.73,-86.586,68.62,0,
2026-09-03,US,Kansas City,Missouri,39.1,-94.579,68.06,0,
2026-09-03,US,Fairfax,Virginia,38.846,-77.306,67.72,0,
2026-09-03,US,Shreveport,Louisiana,32.525,-93.75,67.11,0,
2026-09-03,US,Colorado Springs,Colorado,38.834,-104.821,67.05,0,
2026-09-03,US,Wilmington,Delaware,39.746,-75.547,64.01,0,
2026-09-03,US,Ann Arbor,Michigan,42.278,-83.741,63.68,0,
2026-09-03,US,Astoria,New York,40.772,-73.93,63.02,0,
2026-09-03,US,Vancouver,Washington,45.639,-122.661,62.86,0,
2026-09-03,US,Bellevue,Washington,47.61,-122.201,62.8,0,
2026-09-03,US,Carmel,Indiana,39.978,-86.118,62.64,0,
2026-09-03,US,Alpharetta,Georgia,34.075,-84.294,61.160000000000004,0,
2026-09-03,US,Saint Paul,Minnesota,44.944,-93.093,60.76,0,
2026-09-03,US,Milwaukee,Wisconsin,43.039,-87.906,59.93,0,
2026-09-03,US,Little Rock,Arkansas,34.746,-92.29,59.05,0,
2026-09-03,US,Myrtle Beach,South Carolina,33.689,-78.887,56.87,0,
2026-09-03,US,Lafayette,Louisiana,30.224,-92.02,56.44,0,
2026-09-03,US,Dayton,Ohio,39.759,-84.192,54.57,0,
2026-09-03,US,Chapel Hill,North Carolina,35.913,-79.056,54.08,0,
2026-09-03,US,Wichita,Kansas,37.692,-97.338,53.62,0,
2026-09-03,US,Omaha,Nebraska,41.256,-95.94,53.6,0,
2026-09-03,US,Columbia,South Carolina,34.001,-81.035,53.19,0,
2026-09-03,US,Oklahoma City,Oklahoma,35.468,-97.516,53.14,0,
2026-09-03,US,Tacoma,Washington,47.253,-122.444,51.559999999999995,0,
2026-09-03,US,Durham,North Carolina,35.994,-78.899,51.46,0,
2026-09-03,US,Henderson,Nevada,36.04,-114.982,51.17,2,
