Date,Shipping_City,Shipping_State,Shipping_Country,Platform,Source_Name,SKU,Quantity_Sold,Order_Revenue,Marketing_Action,Rain_Amount,Yesterday_Rain,Max_UV_Index,Logic_Summary
2026-09-02,blocked,,CA,amazon,,10001-889-00014,1,63.73,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,12005-877-00022,1,73.76,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,12005-997-00024,1,73.76,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,1K000-200-00012,1,34.32,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,1K001-KDS-00016,1,33.89,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,FBA 10001-310-00007,1,68.77,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,FBA- 10001-997-00015,1,68.77,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,FBA-10001-001-00001,2,137.55,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,FBA-10001-600-00003,1,68.77,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,FBA-11005-001-221-55,1,83.72,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,FBA-14M00-600-00003,1,89.7,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,FBA-1K000-790-00005,1,29.63,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,FBA_11005-310-00002,1,83.72,,0.0,0.0,0.0,
2026-09-02,blocked,,CA,amazon,,WM-1K001-000-O/S,1,41.93,,0.0,0.0,0.0,
2026-09-03,blocked,,CA,amazon,,12005-997-00024,1,74.05,,0.0,0.0,0.0,
2026-09-03,blocked,,CA,amazon,,1K000-889-00015,1,34.02,,0.0,0.0,0.0,
2026-09-03,blocked,,CA,amazon,,FBA-13004-001-219-62,1,89.06,,0.0,0.0,0.0,
2026-09-03,blocked,,CA,amazon,,FBA2-11005-600-221-55,1,85.11,,0.0,0.0,0.0,
2026-09-03,blocked,,CA,shopify,web,14M00-200-00011,1,5.07,,0.0,0.0,0.0,
2026-09-04,blocked,,CA,amazon,,12005-877-00022,1,73.79,,0.0,0.0,0.0,
2026-09-04,blocked,,CA,amazon,,1K00-310-00019-FBA,1,38.64,,0.0,0.0,0.0,
2026-09-04,blocked,,CA,amazon,,1K000-732-00013,1,34.34,,0.0,0.0,0.0,
2026-09-05,blocked,,CA,amazon,,12005-877-00022,1,73.8,,0.0,0.0,0.0,
2026-09-05,blocked,,CA,amazon,,1K000-889-00015,1,33.91,,0.0,0.0,0.0,
2026-09-05,blocked,,CA,amazon,,FBA-11004-001-219-55,2,167.54,,0.0,0.0,0.0,
2026-09-05,blocked,,CA,amazon,,FBA-12005-AP1-221-51,1,73.8,,0.0,0.0,0.0,
2026-09-05,blocked,,CA,amazon,,FBA-14M00-AA1-00006,1,102.9,,0.0,0.0,0.0,
2026-09-06,blocked,,CA,amazon,,10001-889-00014,1,68.83,,0.0,0.0,0.0,
2026-09-06,blocked,,CA,amazon,,1K001-KDS-00016,1,33.92,,0.0,0.0,0.0,
2026-09-06,blocked,,CA,amazon,,FBA-10001-001-00001,1,68.83,,0.0,0.0,0.0,
2026-09-06,blocked,,CA,amazon,,FBA-14M00-001-00001,1,89.78,,0.0,0.0,0.0,
