Date,Shipping_City,Shipping_State,Shipping_Country,Platform,Source_Name,SKU,Quantity_Sold,Order_Revenue,Marketing_Action,Rain_Amount,Yesterday_Rain,Max_UV_Index,Logic_Summary
2026-08-28,blocked,,UK,amazon,,FBA-10001-001-00001,1,62.1,,0.0,0.0,0.0,
2026-08-28,blocked,,UK,shopify,web,10000-200-419-44,1,81.21,,0.0,0.0,0.0,
2026-08-28,blocked,,UK,shopify,web,10001-100-00002,1,81.21,,0.0,0.0,0.0,
2026-08-29,blocked,,UK,shopify,web,10001-600-00003,2,162.42,,0.0,0.0,0.0,
2026-08-29,blocked,,UK,shopify,web,12005-001-221-51,1,81.21,,0.0,0.0,0.0,
2026-08-30,blocked,,UK,shopify,web,10000-200-419-44,2,162.4,,0.0,0.0,0.0,
2026-08-30,blocked,,UK,shopify,web,10001-310-00007,1,81.19,,0.0,0.0,0.0,
2026-08-30,blocked,,UK,shopify,web,10001-790-00005,1,81.19,,0.0,0.0,0.0,
2026-08-30,blocked,,UK,shopify,web,11005-001-221-55,1,87.95,,0.0,0.0,0.0,
2026-08-30,blocked,,UK,shopify,web,12005-001-221-51,1,81.19,,0.0,0.0,0.0,
2026-08-30,blocked,,UK,shopify,web,12005-600-221-51,1,81.19,,0.0,0.0,0.0,
2026-08-30,blocked,,UK,shopify,web,1K001-GRD-00011,1,40.61,,0.0,0.0,0.0,
2026-08-31,blocked,,UK,shopify,web,12005-001-221-51,1,81.31,,0.0,0.0,0.0,
2026-08-31,blocked,,UK,shopify,web,14M00-200-00011,1,94.77,,0.0,0.0,0.0,
2026-09-01,blocked,,UK,shopify,web,10001-001-00001,1,81.23,,0.0,0.0,0.0,
2026-09-01,blocked,,UK,shopify,web,12005-310-00003,1,5.08,,0.0,0.0,0.0,
2026-09-01,blocked,,UK,shopify,web,12005-600-221-51,1,81.23,,0.0,0.0,0.0,
2026-09-02,blocked,,UK,shopify,web,12005-200-221-51,1,80.86,,0.0,0.0,0.0,
