Date,Region,City,State,Lat,Lon,Forecast_Precip_In,Forecast_UV,Action,Trigger_Reason,Hist_Umbrella_Revenue,Priority_Score,Spend_Share
2026-08-21,US,Chicago,Illinois,41.85003,-87.65005,0.213,4.9,Scale Umbrellas,Forecast rain 0.21 in ≥ 0.20 in,2507.56,2670.55,0.098902
2026-08-21,US,Orlando,Florida,28.53834,-81.37924,3.941,8.3,Scale Umbrellas,Forecast rain 3.94 in ≥ 0.20 in,832.4,2497.2,0.092482
2026-08-21,US,Miami,Florida,25.77427,-80.19366,0.102,8.6,Sun Protection (Hats/Shirts),Forecast UV 8.6 ≥ 8,2308.79,2481.95,0.091917
2026-08-21,US,Houston,Texas,29.76328,-95.36327,0.0,8.25,Sun Protection (Hats/Shirts),Forecast UV 8.2 ≥ 8,2362.86,2436.7,0.090242
2026-08-21,US,Raleigh,North Carolina,35.7721,-78.63861,4.35,6.8,Scale Umbrellas,Forecast rain 4.35 in ≥ 0.20 in,573.44,1720.32,0.063711
2026-08-21,US,Austin,Texas,30.26715,-97.74306,0.0,8.05,Sun Protection (Hats/Shirts),Forecast UV 8.1 ≥ 8,1320.82,1329.08,0.049222
2026-08-21,US,San Diego,California,32.71571,-117.16472,0.0,8.05,Sun Protection (Hats/Shirts),Forecast UV 8.1 ≥ 8,1054.56,1061.15,0.039299
2026-08-21,US,Honolulu,Hawaii,21.30694,-157.85834,0.059,8.95,Sun Protection (Hats/Shirts),Forecast UV 8.9 ≥ 8,712.03,796.58,0.029501
2026-08-21,US,Naperville,Illinois,41.78586,-88.14729,2.846,5.5,Scale Umbrellas,Forecast rain 2.85 in ≥ 0.20 in,258.25,774.75,0.028692
2026-08-21,US,Boca Raton,Florida,26.35869,-80.0831,0.299,8.6,Scale Umbrellas,Forecast rain 0.30 in ≥ 0.20 in,511.53,764.74,0.028322
2026-08-21,US,San Antonio,Texas,29.42412,-98.49363,0.0,8.4,Sun Protection (Hats/Shirts),Forecast UV 8.4 ≥ 8,653.76,686.45,0.025422
2026-08-21,US,Naples,Florida,26.14234,-81.79596,0.146,8.15,Sun Protection (Hats/Shirts),Forecast UV 8.2 ≥ 8,650.08,662.27,0.024527
2026-08-21,US,Knoxville,Tennessee,35.96064,-83.92074,0.37,7.4,Scale Umbrellas,Forecast rain 0.37 in ≥ 0.20 in,352.04,651.27,0.024119
2026-08-21,US,Tampa,Florida,27.94752,-82.45843,0.0,8.3,Sun Protection (Hats/Shirts),Forecast UV 8.3 ≥ 8,593.54,615.8,0.022806
2026-08-21,US,Chapel Hill,North Carolina,35.9132,-79.05584,1.315,7.6,Scale Umbrellas,Forecast rain 1.31 in ≥ 0.20 in,199.63,598.89,0.02218
2026-08-21,US,Durham,North Carolina,35.99403,-78.89862,7.65,7.3,Scale Umbrellas,Forecast rain 7.65 in ≥ 0.20 in,190.2,570.6,0.021132
2026-08-21,US,Las Vegas,Nevada,36.17497,-115.13722,0.0,8.05,Sun Protection (Hats/Shirts),Forecast UV 8.1 ≥ 8,513.75,516.96,0.019145
2026-08-21,US,Madison,Mississippi,32.46181,-90.11536,0.295,7.95,Scale Umbrellas,Forecast rain 0.29 in ≥ 0.20 in,350.09,516.38,0.019124
2026-08-21,US,Chattanooga,Tennessee,35.04563,-85.30968,1.701,7.5,Scale Umbrellas,Forecast rain 1.70 in ≥ 0.20 in,156.8,470.4,0.017421
2026-08-21,US,Phoenix,Arizona,33.44838,-112.07404,0.0,8.25,Sun Protection (Hats/Shirts),Forecast UV 8.2 ≥ 8,391.84000000000003,404.08,0.014965
2026-08-21,US,Downers Grove,Illinois,41.80892,-88.01117,1.063,5.4,Scale Umbrellas,Forecast rain 1.06 in ≥ 0.20 in,123.07,369.21,0.013673
2026-08-21,US,Tucson,Arizona,32.22174,-110.92648,0.0,8.5,Sun Protection (Hats/Shirts),Forecast UV 8.5 ≥ 8,343.05,364.49,0.013499
2026-08-21,US,Scottsdale,Arizona,33.50921,-111.89903,0.0,8.25,Sun Protection (Hats/Shirts),Forecast UV 8.2 ≥ 8,318.53,328.48,0.012165
2026-08-21,US,New Orleans,Louisiana,29.95465,-90.07507,0.0,8.25,Sun Protection (Hats/Shirts),Forecast UV 8.2 ≥ 8,274.97,283.56,0.010501
2026-08-21,US,Albuquerque,New Mexico,35.08449,-106.65114,0.0,8.3,Sun Protection (Hats/Shirts),Forecast UV 8.3 ≥ 8,265.43,275.38,0.010199
2026-08-21,US,Savannah,Georgia,32.08354,-81.09983,0.0,8.0,Sun Protection (Hats/Shirts),Forecast UV 8.0 ≥ 8,272.97,272.97,0.010109
2026-08-21,US,Colorado Springs,Colorado,38.83388,-104.82136,0.0,8.05,Sun Protection (Hats/Shirts),Forecast UV 8.1 ≥ 8,247.69,249.24,0.00923
2026-08-21,US,Shreveport,Louisiana,32.52515,-93.75018,0.0,8.0,Sun Protection (Hats/Shirts),Forecast UV 8.0 ≥ 8,247.52,247.52,0.009167
