Date,Region,Type,Value,Lat,Lon
2024-01-01,UK,sales_revenue,124.2,,
2024-01-01,UK,sales_units,2.0,,
2024-01-01,US,sales_revenue,7508.86,,
2024-01-01,US,sales_units,106.0,,
2024-01-02,US,sales_revenue,5156.7,,
2024-01-02,US,sales_units,72.0,,
2024-01-03,CAN,sales_revenue,474.54,,
2024-01-03,CAN,sales_units,6.0,,
2024-01-03,US,sales_revenue,5199.12,,
2024-01-03,US,sales_units,70.0,,
2024-01-04,CAN,sales_revenue,449.42,,
2024-01-04,CAN,sales_units,6.0,,
2024-01-04,US,sales_revenue,3853.6,,
2024-01-04,US,sales_units,52.0,,
2024-01-05,US,sales_revenue,5353.2,,
2024-01-05,US,sales_units,78.0,,
2024-01-06,CAN,sales_revenue,428.5,,
2024-01-06,CAN,sales_units,6.0,,
2024-01-06,US,sales_revenue,7362.46,,
2024-01-06,US,sales_units,98.0,,
2024-01-07,US,sales_revenue,8473.08,,
2024-01-07,US,sales_units,116.0,,
2024-01-08,US,sales_revenue,8619.74,,
2024-01-08,US,sales_units,114.0,,
2024-01-09,CAN,sales_revenue,139.38,,
2024-01-09,CAN,sales_units,2.0,,
2024-01-09,US,sales_revenue,18005.4,,
2024-01-09,US,sales_units,238.0,,
2024-01-10,US,sales_revenue,7779.02,,
2024-01-10,US,sales_units,106.0,,
2024-01-11,CAN,sales_revenue,300.14,,
2024-01-11,CAN,sales_units,4.0,,
2024-01-11,US,sales_revenue,4997.62,,
2024-01-11,US,sales_units,70.0,,
2024-01-12,CAN,sales_revenue,189.72,,
2024-01-12,CAN,sales_units,2.0,,
2024-01-12,US,sales_revenue,9284.64,,
2024-01-12,US,sales_units,120.0,,
2024-01-13,CAN,sales_revenue,169.46,,
2024-01-13,CAN,sales_units,2.0,,
2024-01-13,US,sales_revenue,7893.28,,
2024-01-13,US,sales_units,106.0,,
2024-01-14,CAN,sales_revenue,148.88,,
2024-01-14,CAN,sales_units,2.0,,
2024-01-14,US,sales_revenue,6747.6,,
2024-01-14,US,sales_units,94.0,,
2024-01-15,US,sales_revenue,8257.36,,
2024-01-15,US,sales_units,112.0,,
2024-01-16,US,sales_revenue,7843.02,,
2024-01-16,US,sales_units,112.0,,
2024-01-17,CAN,sales_revenue,138.32,,
2024-01-17,CAN,sales_units,2.0,,
2024-01-17,US,sales_revenue,3925.34,,
2024-01-17,US,sales_units,54.0,,
2024-01-18,CAN,sales_revenue,138.06,,
2024-01-18,CAN,sales_units,2.0,,
2024-01-18,US,sales_revenue,5507.84,,
2024-01-18,US,sales_units,74.0,,
2024-01-19,CAN,sales_revenue,138.06,,
2024-01-19,CAN,sales_units,2.0,,
2024-01-19,US,sales_revenue,4219.28,,
2024-01-19,US,sales_units,56.0,,
2024-01-20,CAN,sales_revenue,355.94,,
2024-01-20,CAN,sales_units,4.0,,
2024-01-20,US,sales_revenue,7436.74,,
2024-01-20,US,sales_units,102.0,,
2024-01-21,US,sales_revenue,7349.74,,
2024-01-21,US,sales_units,100.0,,
2024-01-22,US,sales_revenue,9622.28,,
2024-01-22,US,sales_units,134.0,,
2024-01-23,CAN,sales_revenue,148.78,,
2024-01-23,CAN,sales_units,2.0,,
2024-01-23,US,sales_revenue,10660.44,,
2024-01-23,US,sales_units,136.0,,
2024-01-24,CAN,sales_revenue,277.58,,
2024-01-24,CAN,sales_units,4.0,,
2024-01-24,US,sales_revenue,12392.68,,
2024-01-24,US,sales_units,170.0,,
2024-01-25,CAN,sales_revenue,645.66,,
2024-01-25,CAN,sales_units,8.0,,
2024-01-25,US,sales_revenue,11760.42,,
