Date,Region,City,State,Lat,Lon,Umbrella_Revenue,Umbrella_Units,Non_Umbrella_Revenue,Non_Umbrella_Units,Observed_Precip_In,Is_Rainy,Verified_Match
2026-09-03,CAN,Blainville,Quebec,45.6668,-73.8825,1.57,0,0.0,0.0,0.7047244094488189,True,True
2026-09-03,CAN,Brossard,Quebec,45.4501,-73.4658,1.13,0,0.0,0.0,0.7795275590551182,True,True
2026-09-03,CAN,Burnaby,British Columbia,49.2664,-122.9526,14.74,0,0.0,0.0,0.484251968503937,True,True
2026-09-03,CAN,Calgary,Alberta,51.0501,-114.0853,24.05,0,0.0,0.0,0.0905511811023622,False,False
2026-09-03,CAN,Cote-Saint-Luc,Quebec,45.4654,-73.6659,0.96,0,0.0,0.0,0.6968503937007874,True,True
2026-09-03,CAN,Dartmouth,Nova Scotia,44.6713,-63.5772,0.46,0,0.0,0.0,0.0511811023622047,False,False
2026-09-03,CAN,Dieppe,New Brunswick,46.0784,-64.6874,1.78,0,0.0,0.0,0.0275590551181102,False,False
2026-09-03,CAN,Dorval,Quebec,45.4473,-73.7534,1.08,0,0.0,0.0,0.6692913385826772,True,True
2026-09-03,CAN,Edmonton,Alberta,53.5501,-113.4687,10.299999999999999,0,0.0,0.0,0.9251968503937008,True,True
2026-09-03,CAN,Fredericton,New Brunswick,45.9454,-66.6656,0.54,0,0.0,0.0,0.1653543307086614,False,False
2026-09-03,CAN,Guelph,Ontario,43.5459,-80.256,4.33,0,0.0,0.0,0.0118110236220472,False,False
2026-09-03,CAN,Halifax,Nova Scotia,44.6427,-63.5769,3.45,0,0.0,0.0,0.0511811023622047,False,False
2026-09-03,CAN,Headingley,Manitoba,49.8753,-97.409,0.48,0,0.0,0.0,0.0590551181102362,False,False
2026-09-03,CAN,Kingston,Ontario,44.2298,-76.481,3.05,0,0.0,0.0,0.6181102362204725,True,True
2026-09-03,CAN,Markham,Ontario,43.8668,-79.2663,5.7,0,0.0,0.0,0.0,False,False
2026-09-03,CAN,Moncton,New Brunswick,46.0945,-64.7965,0.86,0,0.0,0.0,0.0236220472440944,False,False
2026-09-03,CAN,Montreal,Quebec,45.5088,-73.5878,14.11,0,0.0,0.0,0.6338582677165355,True,True
2026-09-03,CAN,North Vancouver,British Columbia,49.3164,-123.0693,11.07,0,0.0,0.0,0.610236220472441,True,True
2026-09-03,CAN,Ottawa,Ontario,45.4112,-75.6981,23.15,0,0.0,0.0,0.3818897637795275,True,True
