City,State,Lat,Lon,Marketing_Action,Rain_Amount,Yesterday_Rain,Max_UV_Index,Logic_Summary
Anchorage,Alaska,61.2181,-149.9003,Scale Umbrellas,0.224,0.134,1.95,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.224 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.134 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 1.9 (threshold 8) | Triggered by: forecast precip ≥ 0.20 in
Fairbanks,Alaska,64.8378,-147.7164,Baseline,0.193,0.043,4.15,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.193 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.043 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 4.2 (threshold 8) | No marketing threshold met.
Sitka,Alaska,57.0532,-135.3309,Scale Umbrellas,0.323,0.000,1.45,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.323 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 1.4 (threshold 8) | Triggered by: forecast precip ≥ 0.20 in
Cordova,Alaska,60.5432,-145.7587,Scale Umbrellas (Residual Demand),0.886,1.154,1.80,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.886 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 1.154 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 1.8 (threshold 8) | Triggered by: previous-day rain ≥ 0.50 in
Wasilla,Alaska,61.5809,-149.4415,Scale Umbrellas,0.677,0.248,0.70,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.677 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.248 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.7 (threshold 8) | Triggered by: forecast precip ≥ 0.50 in
Birmingham,Alabama,33.5207,-86.8025,Baseline,0.000,0.008,7.95,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.008 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.0 (threshold 8) | No marketing threshold met.
Huntsville,Alabama,34.7304,-86.5859,Baseline,0.087,0.016,7.85,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.087 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.016 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.8 (threshold 8) | No marketing threshold met.
Mobile,Alabama,30.6944,-88.0430,Sun Protection (Hats/Shirts),0.000,0.004,8.10,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.004 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.1 (threshold 8) | Triggered by: UV 8.1
Madison,Alabama,34.6993,-86.7483,Baseline,0.000,0.004,7.85,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.004 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.8 (threshold 8) | No marketing threshold met.
Fairhope,Alabama,30.5230,-87.9033,Sun Protection (Hats/Shirts),0.000,0.024,8.00,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.024 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.0 (threshold 8) | Triggered by: UV 8.0
Little Rock,Arkansas,34.7465,-92.2896,Baseline,0.000,0.059,7.85,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.059 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.8 (threshold 8) | No marketing threshold met.
Jonesboro,Arkansas,35.8423,-90.7043,Baseline,0.000,0.000,7.45,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.5 (threshold 8) | No marketing threshold met.
Bentonville,Arkansas,36.3728,-94.2088,Baseline,0.000,0.012,7.65,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.012 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.7 (threshold 8) | No marketing threshold met.
Fayetteville,Arkansas,36.0626,-94.1574,Baseline,0.000,0.020,7.65,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.020 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.7 (threshold 8) | No marketing threshold met.
Rogers,Arkansas,36.3320,-94.1185,Baseline,0.000,0.020,7.65,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.020 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.7 (threshold 8) | No marketing threshold met.
Phoenix,Arizona,33.4484,-112.0740,Sun Protection (Hats/Shirts),0.000,0.000,8.35,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.3 (threshold 8) | Triggered by: UV 8.3
Tucson,Arizona,32.2217,-110.9265,Sun Protection (Hats/Shirts),0.000,0.000,8.60,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.6 (threshold 8) | Triggered by: UV 8.6
